1	389	12 Angry Men
2	62	2001: A Space Odyssey
3	20453	3 Idiots
4	453	A Beautiful Mind
5	185	A Clockwork Orange
6	702	A Streetcar Named Desire
7	348	Alien
8	705	All About Eve
9	143	All Quiet on the Western Front
10	279	Amadeus
11	14	American Beauty
12	73	American History X
13	55	Amores perros
14	93	Anatomy of a Murder
15	703	Annie Hall
16	28	Apocalypse Now
17	212	Arsenic and Old Lace
18	105	Back to the Future
19	3175	Barry Lyndon
20	272	Batman Begins
21	10020	Beauty and the Beast
22	76	Before Sunrise
23	665	Ben-Hur
24	44214	Black Swan
25	78	Blade Runner
26	197	Braveheart
27	642	Butch Cassidy and the Sundance Kid
28	289	Casablanca
29	524	Casino
30	829	Chinatown
31	598	Cidade de Deus
32	15	Citizen Kane
33	901	City Lights
34	903	Cool Hand Luke
35	562	Die Hard
36	17654	District 9
37	68718	Django Unchained
38	968	Dog Day Afternoon
39	141	Donnie Darko
40	996	Double Indemnity
41	935	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
42	1417	El laberinto del fauno
43	38	Eternal Sunshine of the Spotless Mind
44	5961	Fanny och Alexander
45	275	Fargo
46	309	Festen
47	550	Fight Club
48	12	Finding Nemo
49	13	Forrest Gump
50	600	Full Metal Jacket
51	783	Gandhi
52	98	Gladiator
53	770	Gone with the Wind
54	489	Good Will Hunting
55	769	Goodfellas
56	13223	Gran Torino
57	137	Groundhog Day
58	12445	Harry Potter and the Deathly Hallows: Part 2
59	11787	Harvey
60	949	Heat
61	288	High Noon
62	205	Hotel Rwanda
63	10191	How to Train Your Dragon
64	429	Il buono, il brutto, il cattivo
65	7984	In the Name of the Father
66	46738	Incendies
67	27205	Inception
68	89	Indiana Jones and the Last Crusade
69	10775	Infernal Affairs
70	16869	Inglourious Basterds
71	5915	Into the Wild
72	77338	Intouchables
73	3078	It Happened One Night
74	1585	It's a Wonderful Life
75	103663	Jagten
76	578	Jaws
77	329	Jurassic Park
78	81	Kaze no tani no Naushika
79	24	Kill Bill: Vol. 1
80	2118	L.A. Confidential
81	947	Lawrence of Arabia
82	87827	Life of Pi
83	100	Lock, Stock and Two Smoking Barrels
84	832	M
85	24238	Mary and Max
86	77	Memento
87	19	Metropolis
88	70	Million Dollar Baby
89	3082	Modern Times
90	128	Mononoke-hime
91	585	Monsters, Inc.
92	762	Monty Python and the Holy Grail
93	583	Monty Python's Life of Brian
94	3083	Mr. Smith Goes to Washington
95	322	Mystic River
96	10774	Network
97	6977	No Country for Old Men
98	213	North by Northwest
99	303	Notorious
100	11216	Nuovo Cinema Paradiso
101	654	On the Waterfront
102	311	Once Upon a Time in America
103	510	One Flew Over the Cuckoo's Nest
104	5924	Papillon
105	975	Paths of Glory
106	391	Per un pugno di dollari
107	797	Persona
108	22	Pirates of the Caribbean: The Curse of the Black Pearl
109	792	Platoon
110	539	Psycho
111	680	Pulp Fiction
112	1578	Raging Bull
113	85	Raiders of the Lost Ark
114	380	Rain Man
115	11645	Ran
116	2062	Ratatouille
117	567	Rear Window
118	223	Rebecca
119	641	Requiem for a Dream
120	500	Reservoir Dogs
121	1366	Rocky
122	804	Roman Holiday
123	1580	Rope
124	805	Rosemary's Baby
125	857	Saving Private Ryan
126	111	Scarface
127	424	Schindler's List
128	807	Se7en
129	11324	Shutter Island
130	187	Sin City
131	872	Singin' in the Rain
132	993	Sleuth
133	12405	Slumdog Millionaire
134	107	Snatch
135	239	Some Like It Hot
136	235	Stand by Me
137	13475	Star Trek
138	1892	Star Wars: Episode VI - Return of the Jedi
139	845	Strangers on a Train
140	599	Sunset Boulevard
141	7508	Taare Zameen Par
142	103	Taxi Driver
143	280	Terminator 2: Judgment Day
144	284	The Apartment
145	74643	The Artist
146	24428	The Avengers
147	887	The Best Years of Our Lives
148	115	The Big Lebowski
149	910	The Big Sleep
150	2503	The Bourne Ultimatum
151	826	The Bridge on the River Kwai
152	155	The Dark Knight
153	11778	The Deer Hunter
154	1422	The Departed
155	1955	The Elephant Man
156	9552	The Exorcist
157	961	The General
158	238	The Godfather
159	962	The Gold Rush
160	37247	The Graduate
161	596	The Grapes of Wrath
162	914	The Great Dictator
163	5925	The Great Escape
164	497	The Green Mile
165	49051	The Hobbit: An Unexpected Journey
166	990	The Hustler
167	10098	The Kid
168	247	The Killing
169	45269	The King's Speech
170	8587	The Lion King
171	121	The Lord of the Rings: The Two Towers
172	963	The Maltese Falcon
173	11697	The Man Who Shot Liberty Valance
174	982	The Manchurian Candidate
175	603	The Matrix
176	3112	The Night of the Hunter
177	423	The Pianist
178	1124	The Prestige
179	2493	The Princess Bride
180	278	The Shawshank Redemption
181	694	The Shining
182	274	The Silence of the Lambs
183	745	The Sixth Sense
184	9277	The Sting
185	218	The Terminator
186	1091	The Thing
187	1092	The Third Man
188	3090	The Treasure of the Sierra Madre
189	37165	The Truman Show
190	117	The Untouchables
191	629	The Usual Suspects
192	576	The Wild Bunch
193	630	The Wizard of Oz
194	7345	There Will Be Blood
195	595	To Kill a Mockingbird
196	8392	Tonari no Totoro
197	1480	Touch of Evil
198	862	Toy Story
199	627	Trainspotting
200	110	Trois couleurs: Rouge
